use_gradient_assist,gradient_weight,gradient_mode,use_nms,use_morphological_closing,use_thinning,min_object_size,use_endpoint_linking,adaptive_use_hysteresis,adaptive_low_ratio,use_texture_suppression,texture_window_size,texture_weight,texture_suppression_mode,texture_strength,texture_gamma,use_tv_denoise,tv_weight,min_skeleton_length,min_component_mean_response,transform_mode,wavelet,level,threshold_method,percentile,low_threshold_ratio,response_mode,level_weights,image_name,precision,recall,f1_score,edge_density,gt_density,density_ratio,balanced_score,tolerance_radius
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.24803017602682315,0.45446168023345107,0.32091535166205737,0.07726633894858194,0.056728907196196915,1.362027388630676,0.32091535166205737,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.1356853086062011,0.6476486860304288,0.22436511739338763,0.08940356603908006,0.02950110426745941,3.0305148893204623,0.14478788399531828,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.11807569336010112,0.39581256231306083,0.18189107153084014,0.08710435813239552,0.03295963109047221,2.6427580899106076,0.160477358044249,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.39002893975269665,0.443530291697831,0.41506264436200746,0.04923543241300251,0.056728907196196915,0.8679071423613076,0.41506264436200746,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.1846764051465609,0.6544394926294138,0.28806398068507616,0.06694904825745947,0.02950110426745941,2.269373544690352,0.28806398068507616,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.13336075689016866,0.3991627677911844,0.19992599901332017,0.0787235833964806,0.03295963109047221,2.388484242907535,0.19992599901332017,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.25858676207513415,0.44063404968754766,0.3259117298912124,0.07240885745558642,0.056728907196196915,1.2764011906865849,0.3259117298912124,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.1732562476687803,0.6424619640387276,0.2729142185663925,0.06945550870784516,0.02950110426745941,2.3543350965714747,0.2729142185663925,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.11807569336010112,0.39581256231306083,0.18189107153084014,0.08710435813239552,0.03295963109047221,2.6427580899106076,0.160477358044249,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.46794338051623646,0.3226639873690254,0.38195565372525697,0.031113788123133916,0.056728907196196915,0.5484643398978849,0.38195565372525697,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.3578313253012048,0.6138477437133999,0.452112140048205,0.0322536771134902,0.02950110426745941,1.0933036908733629,0.452112140048205,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.13336075689016866,0.3991627677911844,0.19992599901332017,0.0787235833964806,0.03295963109047221,2.388484242907535,0.19992599901332017,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,10.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.32013991163475697,0.24889079719479032,0.2800547548111764,0.03518111929326882,0.056728907196196915,0.6201620096430706,0.2800547548111764,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,10.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.4597118463180363,0.5933195592286501,0.5180396873120867,0.024274454180996236,0.02950110426745941,0.8228317737737678,0.5180396873120867,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,10.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.11807569336010112,0.39581256231306083,0.18189107153084014,0.08710435813239552,0.03295963109047221,2.6427580899106076,0.160477358044249,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,10.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.5365853658536586,0.17991004497751126,0.26947024599367153,0.01593253929702528,0.056728907196196915,0.2808539292566189,0.26947024599367153,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,10.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.7379032258064516,0.5646211861501542,0.639735871042921,0.014455864923154644,0.02950110426745941,0.4900108108492663,0.639735871042921,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,10.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.13959804454101032,0.37582256885205945,0.2035777939137897,0.0715409874288379,0.03295963109047221,2.1705633029334948,0.2035777939137897,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,15.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.4026548672566372,0.20219413970281905,0.26920587963390963,0.023419537438229027,0.056728907196196915,0.41283244235444466,0.26920587963390963,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,15.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.7132384648555412,0.5691672401927047,0.63311004784689,0.015019332776342122,0.02950110426745941,0.5091106946054876,0.63311004784689,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,15.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.12666830426594614,0.38396624472573837,0.19049378155399585,0.07909922863193891,0.03295963109047221,2.399881370516637,0.19049378155399585,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,15.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.6172199170124482,0.15958160118009923,0.2535961640916356,0.012486965757993795,0.056728907196196915,0.2201164128482769,0.2535961640916356,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,15.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.8074257425742575,0.5589444825222756,0.6605913325232888,0.013082816821134578,0.02950110426745941,0.44346856537433593,0.6605913325232888,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,15.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.17218193803559656,0.309112426035503,0.22116850127011006,0.04912532949916128,0.03295963109047221,1.4904691881903458,0.22116850127011006,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,3,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.2613009922822492,0.42941265287634,0.32489861198377795,0.07049177142635087,0.056728907196196915,1.2426073845646504,0.32489861198377795,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,3,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.13941548183254343,0.5877455877455877,0.2253718955500223,0.08199428760176423,0.02950110426745941,2.779362394870838,0.18346753631939658,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,3,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.1182627328168782,0.34478616049975974,0.1761168384879725,0.07858757391467672,0.03295963109047221,2.3843576967042392,0.1761168384879725,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,3,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.4009268361185227,0.42071912761567937,0.41058459768461925,0.04612016761549472,0.056728907196196915,0.8129922074131638,0.41058459768461925,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,3,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.18042596348884382,0.5806135770234987,0.2753017641597029,0.06385969002791432,0.02950110426745941,2.1646534923717584,0.2753017641597029,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,3,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.13291541746161534,0.3484992853739876,0.1924366984544558,0.07128839839120213,0.03295963109047221,2.1628997171273743,0.1924366984544558,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,3,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.273120818575364,0.4159424632903806,0.3297303717781209,0.06582858919307517,0.056728907196196915,1.1604062345383228,0.3297303717781209,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,3,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.17913345595749028,0.583944037308461,0.2741632780731936,0.06338041852060544,0.02950110426745941,2.148407614234283,0.2741632780731936,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,3,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.1182627328168782,0.34478616049975974,0.1761168384879725,0.07858757391467672,0.03295963109047221,2.3843576967042392,0.1761168384879725,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,3,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.4873417721518987,0.3055988660524451,0.37564247756773234,0.02865266416668286,0.056728907196196915,0.5050803996062122,0.37564247756773234,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,3,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.3591579861111111,0.5422673656618611,0.4321148825065274,0.029844366292964424,0.02950110426745941,1.0116352223984852,0.4321148825065274,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,3,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.13291541746161534,0.3484992853739876,0.1924366984544558,0.07128839839120213,0.03295963109047221,2.1628997171273743,0.1924366984544558,1
