use_gradient_assist,gradient_weight,gradient_mode,use_nms,use_morphological_closing,use_thinning,min_object_size,use_endpoint_linking,adaptive_use_hysteresis,adaptive_low_ratio,use_texture_suppression,texture_window_size,texture_weight,use_tv_denoise,tv_weight,transform_mode,wavelet,level,threshold_method,low_threshold_ratio,response_mode,level_weights,image_name,precision,recall,f1_score,tolerance_radius
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,False,0.08,dwt,haar,1,otsu,0.4,weighted,,106025.jpg,0.9458794587945879,0.09751458280497083,0.17680193125646626,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,False,0.08,dwt,haar,1,otsu,0.4,weighted,,253036.jpg,0.9157381615598886,0.4082583048742627,0.5647412497315869,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,False,0.08,dwt,haar,1,otsu,0.4,weighted,,299091.jpg,0.13764573147799924,0.35698610095098754,0.19868358553301213,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,True,0.05,dwt,haar,1,otsu,0.4,weighted,,106025.jpg,0.983026874115983,0.08711456505389822,0.16004605641911343,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,True,0.05,dwt,haar,1,otsu,0.4,weighted,,253036.jpg,0.9180938198064036,0.37591463414634146,0.5334198572355614,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,True,0.05,dwt,haar,1,otsu,0.4,weighted,,299091.jpg,0.1781267685342388,0.29588719153936544,0.22237922811975624,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,True,0.1,dwt,haar,1,otsu,0.4,weighted,,106025.jpg,0.9851411589895989,0.0827508736894658,0.1526770293609672,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,True,0.1,dwt,haar,1,otsu,0.4,weighted,,253036.jpg,0.9280632411067193,0.3486783486783487,0.5069084628670121,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,True,0.1,dwt,haar,1,otsu,0.4,weighted,,299091.jpg,0.33136631865637767,0.15945827872433377,0.21530747677333728,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.25,False,0.08,dwt,haar,1,otsu,0.4,weighted,,106025.jpg,0.8991853360488798,0.11390608875128999,0.20219830547286466,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.25,False,0.08,dwt,haar,1,otsu,0.4,weighted,,253036.jpg,0.9112306657700068,0.4261006289308176,0.5806728090850654,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.25,False,0.08,dwt,haar,1,otsu,0.4,weighted,,299091.jpg,0.12993762993762994,0.36737692872887584,0.19197542714532542,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.25,True,0.05,dwt,haar,1,otsu,0.4,weighted,,106025.jpg,0.9723618090452262,0.09807399898631526,0.1781767955801105,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.25,True,0.05,dwt,haar,1,otsu,0.4,weighted,,253036.jpg,0.9194139194139194,0.38639162561576357,0.5441144591372209,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.25,True,0.05,dwt,haar,1,otsu,0.4,weighted,,299091.jpg,0.17392438070404173,0.3160388533522862,0.22437137330754356,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.25,True,0.1,dwt,haar,1,otsu,0.4,weighted,,106025.jpg,0.9778085991678225,0.0884789156626506,0.1622741397168834,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.25,True,0.1,dwt,haar,1,otsu,0.4,weighted,,253036.jpg,0.9229583975346687,0.35922038980509746,0.5171595078782647,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.25,True,0.1,dwt,haar,1,otsu,0.4,weighted,,299091.jpg,0.21588552467855662,0.23843334860284013,0.22659991292990858,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.45,False,0.08,dwt,haar,1,otsu,0.4,weighted,,106025.jpg,0.8603202846975089,0.12657068062827226,0.22067549064354178,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.45,False,0.08,dwt,haar,1,otsu,0.4,weighted,,253036.jpg,0.9145793192035967,0.45714285714285713,0.6095890410958904,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.45,False,0.08,dwt,haar,1,otsu,0.4,weighted,,299091.jpg,0.1289610058618639,0.3725153374233129,0.19159409314653542,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.45,True,0.05,dwt,haar,1,otsu,0.4,weighted,,106025.jpg,0.9482163406214039,0.10537084398976983,0.18966509379675453,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.45,True,0.05,dwt,haar,1,otsu,0.4,weighted,,253036.jpg,0.9166082690960056,0.4108040201005025,0.5673389720234222,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.45,True,0.05,dwt,haar,1,otsu,0.4,weighted,,299091.jpg,0.17316017316017315,0.31198298274639563,0.22270963387885945,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.45,True,0.1,dwt,haar,1,otsu,0.4,weighted,,106025.jpg,0.9796437659033079,0.0979020979020979,0.17801410241590568,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.45,True,0.1,dwt,haar,1,otsu,0.4,weighted,,253036.jpg,0.924907063197026,0.3806609547123623,0.5393453284196834,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.45,True,0.1,dwt,haar,1,otsu,0.4,weighted,,299091.jpg,0.1731066460587326,0.28933771723813995,0.2166153846153846,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,False,0.08,dwt,haar,1,otsu,0.4,multiscale_consistency,,106025.jpg,0.9351740696278511,0.0988955185984512,0.1788748564867968,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,False,0.08,dwt,haar,1,otsu,0.4,multiscale_consistency,,253036.jpg,0.9231927710843374,0.37378048780487805,0.5321180555555556,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,False,0.08,dwt,haar,1,otsu,0.4,multiscale_consistency,,299091.jpg,0.15120902740462117,0.34125636672325976,0.209562109025916,1
